Depth_from_Surface_cm,Age_wmean,Ave_Density,Ave_Organics,MagSuscept_10^-5
445,30559.3,0.5517,16.27696212,5.975
446,30576.8,0.4564,14.57055215,5.55
447,30594.7,0.4044,14.61424332,5.525
448,30612.2,0.4927,15.34402273,5.835
449,30629.7,0.4449,15.10451787,5.22
450,30647,0.6384,14.44235589,5.79
451,30658.4,0.4905,13.86340469,5.85
452,30669.5,0.5045,13.28047572,5.46
453,30681.1,0.4422,14.4278607,5.12
454,30692.6,0.4899,12.51275771,5.91
455,30704,0.4064,14.71456693,6.385
456,30715.4,0.5091,12.47299155,7.25
457,30726.8,0.5555,11.64716472,6.85
458,30738.3,0.5037,13.30156839,6.95
459,30749.7,0.6201,13.51394936,5.74
460,30760.8,0.5836,11.97738177,6.28
461,30771.9,0.418,14.59330144,5.575
462,30783.2,0.5882,14.72288337,5.785
463,30794.7,0.406,15.07389163,7.3
464,30805.6,0.5109,15.5412018,6.8
465,30817.3,0.5514,15.85056221,5.5
466,30828.2,0.552,16.57608696,5.61
467,30839.4,0.4609,15.92536342,6.33
468,30850.8,0.483,14.22360248,5.445
469,30862,0.4641,15.92329239,5.27
470,30873.4,0.4473,15.91772859,5.335
471,30884.3,0.5983,15.19304697,5.26
472,30895.6,0.5371,15.50921616,5.52
473,30906.5,0.4756,16.25315391,5.91
474,30917.9,0.5641,15.36961532,4.995
475,30928,0.4054,15.44153922,5.105
476,30939.4,0.5182,15.30297183,5.99
477,30950.4,0.488,14.26229508,5.37
478,30961.5,0.5203,15.35652508,5.615
479,30972.7,0.4391,14.52971988,4.65
480,30983.2,0.5206,15.52055321,4.495
481,30994.4,0.6143,15.79033046,4.65
482,31005.6,0.5807,16.61787498,4.435
483,31016.6,0.5295,17.39376771,4.375
484,31027.3,0.5872,16.62125341,4.17
485,31038.4,0.5284,18.79258138,5.025
486,31049.2,0.5261,18.41855161,4.335
487,31061,0.544,17.35294118,4.03
488,31071,0.5188,18.98612182,4.47
489,31082.1,0.6239,18.94534381,3.455
490,31093.4,0.5109,18.59463692,3.8
491,31104.3,0.4348,17.96228151,3.73
492,31115.4,0.2726,18.48862803,4.93
493,31126,0.5595,18.44504021,5.81
494,31136.8,0.5425,17.2718894,6.365
495,31148.5,0.5366,17.55497577,6.58
496,31159.1,0.6716,18.28469327,6.27
497,31169.7,0.5103,19.02802273,5.69
498,31181.2,0.8396,17.34159123,5.55
499,31192.4,0.5653,17.65434283,4.68
500,31203.9,0.4707,18.24941576,3.905
501,31216.4,0.514,18.48249027,4.755
502,31230.4,0.5042,18.46489488,5.265
503,31243.6,0.4356,19.94949495,3.98
504,31256.5,0.3998,20.51025513,4.04
505,31270.4,0.4739,20.44735176,4.48
506,31284,0.6595,20.015163,4.445
507,31297.4,0.4865,18.70503597,4.195
508,31311,0.6085,17.63352506,4.17
509,31324,0.3261,11.49954002,3.8
510,31337.4,0.7492,11.98611853,4.01
511,31351.3,0.6175,13.05263158,3.675
512,31364.1,0.7189,13.24245375,3.32
513,31377.6,0.3707,13.83868357,3.75
514,31390.1,0.4755,13.98527865,3.895
515,31402.5,0.5298,14.7602869,3.16
516,31416,0.451,15.32150776,2.755
